,NOME,CPF,IDADE,VALOR_EMPRESTIMO,DATA_EMPRESTIMO,FAIXA_ETARIA,PRAZO_MESES,TAXAS_IDADE,DATA,TAXA_MENSAL_CDI,PRIMEIRA_PARCELA_EMPRESTIMO,AMORTIZACAO
7803,Alexandre Matos Albernaz,153.289.070-27,97,32555.0,2024-06-03,91+,48,2.79,2024-06-03,0.87,1449.7,258.19
142955,Telma Albernaz Costa,447.035.575-50,59,175211.0,2024-06-05,56-60,120,0.071,2024-06-05,0.87,2442.58,793.84
30051,Carlos Silva Silva,939.082.774-42,35,63782.0,2024-06-03,31-35,36,0.0095,2024-06-03,0.87,2074.7,1513.74
84423,Gloria Costa Cunha,890.389.954-74,86,147839.0,2024-06-04,86-90,72,1.27,2024-06-04,0.87,4044.27,880.52
2952,Maria Matos Oliveira,922.861.280-06,81,84025.0,2024-06-03,81-85,120,0.838,2024-06-03,0.87,1651.56,216.41
108679,Telma Souza Albernaz,897.201.243-26,72,241238.0,2024-06-05,71-75,108,0.33,2024-06-05,0.87,3997.0,1102.14
88920,Pedro Pereira Sant' Anna,668.502.537-94,38,203662.0,2024-06-04,36-40,36,0.0112,2024-06-04,0.87,6626.66,4831.99
139961,Rosimeri Sant' Anna Costa,725.273.208-80,36,290254.0,2024-06-05,36-40,108,0.0112,2024-06-05,0.87,4177.22,1619.5
112421,Alexandre Rodrigues Sant' Anna,895.414.643-00,63,256527.0,2024-06-05,61-65,72,0.111,2024-06-05,0.87,4984.79,2468.26
33635,Carlos Sande Silva,580.762.098-46,90,122777.0,2024-06-03,86-90,36,1.27,2024-06-03,0.87,4925.86,2298.43
160575,Noemi Souza Albernaz,150.366.849-58,73,37254.0,2024-06-06,71-75,120,0.33,2024-06-06,0.87,587.42,140.37
114311,Charles Albernaz Rodrigues,719.501.946-20,21,176569.0,2024-06-05,21-25,96,0.0073,2024-06-05,0.87,2728.83,1179.79
107817,João Silva Pereira,415.182.343-30,95,105983.0,2024-06-05,91+,108,2.79,2024-06-05,0.87,3960.59,81.61
173181,Samuel Sande Maia,555.536.532-23,51,265010.0,2024-06-06,51-55,36,0.05,2024-06-06,0.87,8681.11,6243.02
97359,Marcelo Souza Souza,755.551.868-60,76,252157.0,2024-06-04,76-80,120,0.51,2024-06-04,0.87,4312.38,832.61
68940,Gabriel Oliveira Albernaz,322.025.776-37,28,73839.0,2024-06-04,26-30,108,0.0091,2024-06-04,0.87,1061.64,412.52
132099,Igor Pereira Silva,522.946.385-65,34,48216.0,2024-06-05,31-35,60,0.0095,2024-06-05,0.87,1037.64,613.58
18168,Noemi Costa Silva,825.756.827-97,26,197481.0,2024-06-03,26-30,36,0.0091,2024-06-03,0.87,6423.2,4687.14
88010,João Pereira Santos,672.461.590-96,68,39750.0,2024-06-04,66-70,84,0.18,2024-06-04,0.87,714.51,297.13
51735,Alexandre Matos Matos,707.839.041-50,85,181923.0,2024-06-04,81-85,108,0.838,2024-06-04,0.87,3701.59,594.35
85757,Augusto Sant' Anna Rodrigues,868.393.219-24,69,77279.0,2024-06-04,66-70,108,0.18,2024-06-04,0.87,1199.72,388.29
126102,Augusto Matos Costa,082.629.766-81,45,160025.0,2024-06-05,41-45,60,0.0195,2024-06-05,0.87,3453.37,2029.95
103424,Gabriel Sant' Anna Rodrigues,984.999.927-65,99,178300.0,2024-06-05,91+,84,2.79,2024-06-05,0.87,6860.77,334.99
95274,Alexandre Oliveira Cunha,609.495.336-37,20,255159.0,2024-06-04,15-20,72,0.0065,2024-06-04,0.87,4793.96,2557.49
120731,Alexandre Albernaz Silva,989.606.078-94,51,227915.0,2024-06-05,51-55,108,0.05,2024-06-05,0.87,3338.49,1241.67
64183,Alexandre Matos Maia,231.569.601-10,65,277491.0,2024-06-04,61-65,60,0.111,2024-06-04,0.87,6140.71,3418.52
150487,Pedro Matos Rodrigues,894.213.341-08,84,106902.0,2024-06-06,81-85,72,0.838,2024-06-06,0.87,2591.43,765.54
23663,Samuel Maia Pereira,793.770.356-35,52,180658.0,2024-06-03,51-55,60,0.05,2024-06-03,0.87,3931.55,2269.5
42776,Pedro Silva Souza,472.794.378-69,60,106020.0,2024-06-03,56-60,60,0.071,2024-06-03,0.87,2320.6,1322.95
47092,José Silva Matos,985.265.314-84,80,186558.0,2024-06-03,76-80,48,0.51,2024-06-03,0.87,5340.76,2766.26
105952,João Sande Matos,982.757.834-02,95,26029.0,2024-06-05,91+,84,2.79,2024-06-05,0.87,1001.56,48.9
104151,Igor Maia Maia,031.100.332-08,99,61807.0,2024-06-05,91+,96,2.79,2024-06-05,0.87,2336.24,74.1
9324,Leticia Oliveira Matos,409.215.718-52,73,122054.0,2024-06-03,71-75,72,0.33,2024-06-03,0.87,2541.23,1076.58
195819,Carlos Sant' Anna Cristina,831.632.594-21,20,66418.0,2024-06-06,15-20,72,0.0065,2024-06-06,0.87,1247.87,665.72
90443,Fatima Maia Santos,043.696.212-83,36,193185.0,2024-06-04,36-40,96,0.0112,2024-06-04,0.87,2990.46,1288.11
53387,Irani Costa Sande,778.707.051-01,95,91568.0,2024-06-04,91+,36,2.79,2024-06-04,0.87,4617.23,1265.84
52205,Telma Cunha Oliveira,021.195.390-30,85,192740.0,2024-06-04,81-85,84,0.838,2024-06-04,0.87,4337.77,1045.77
171694,Gloria Oliveira Sande,422.571.165-00,51,48708.0,2024-06-06,51-55,36,0.05,2024-06-06,0.87,1595.56,1147.45
164168,José Costa Matos,975.941.140-78,63,194385.0,2024-06-06,61-65,84,0.111,2024-06-06,0.87,3407.77,1500.85
184891,Rosimeri Maia Costa,919.495.841-60,89,159637.0,2024-06-06,86-90,108,1.27,2024-06-06,0.87,3802.53,386.3
65557,Daniel Oliveira Souza,498.236.999-25,23,228495.0,2024-06-04,21-25,36,0.0073,2024-06-04,0.87,7429.62,5425.03
142533,Igor Costa Cristina,054.879.568-12,57,228884.0,2024-06-05,56-60,96,0.071,2024-06-05,0.87,3631.55,1477.75
185829,Marcelo Oliveira Ferreira,853.809.032-15,70,223981.0,2024-06-06,66-70,72,0.18,2024-06-06,0.87,4449.07,2097.27
65543,Daniel Cunha Matos,626.759.247-25,25,22177.0,2024-06-04,21-25,48,0.0073,2024-06-04,0.87,568.1,373.54
177979,Noemi Rodrigues Santos,369.718.233-11,50,218109.0,2024-06-06,46-50,108,0.033,2024-06-06,0.87,3170.29,1200.77
31068,Gabriel Pereira Silva,162.085.132-60,34,231037.0,2024-06-03,31-35,36,0.0095,2024-06-03,0.87,7515.15,5483.18
181826,Telma Sande Souza,999.239.034-43,33,223291.0,2024-06-06,31-35,120,0.0095,2024-06-06,0.87,3019.73,1055.89
19135,Noemi Rodrigues Silva,271.241.816-66,28,282240.0,2024-06-03,26-30,48,0.0091,2024-06-03,0.87,7233.01,4751.84
108718,Samuel Sant' Anna Oliveira,090.328.440-59,74,156825.0,2024-06-05,71-75,72,0.33,2024-06-05,0.87,3265.18,1383.28
3894,José Sande Sant' Anna,657.962.162-10,93,263715.0,2024-06-03,91+,108,2.79,2024-06-03,0.87,9855.04,203.07
24121,Pedro Souza Silva,684.952.742-80,42,233412.0,2024-06-03,41-45,36,0.0195,2024-06-03,0.87,7605.63,5529.43
167561,Alexandre Cristina Prenda,011.849.113-04,29,64675.0,2024-06-06,26-30,108,0.0091,2024-06-06,0.87,929.88,361.32
185532,Carlos Santos Pereira,492.035.558-03,88,266308.0,2024-06-06,86-90,84,1.27,2024-06-06,0.87,6856.91,1157.92
104601,Ana Pereira Cunha,526.513.002-09,97,79708.0,2024-06-05,91+,120,2.79,2024-06-05,0.87,2956.89,39.58
10533,Fatima Maia Sant' Anna,680.818.853-07,75,122249.0,2024-06-03,71-75,120,0.33,2024-06-03,0.87,1927.63,460.64
116271,Gabriel Cristina Sande,800.859.287-71,22,195418.0,2024-06-05,21-25,72,0.0073,2024-06-05,0.87,3672.49,1958.09
116330,Leticia Cunha Maia,678.332.434-69,25,159013.0,2024-06-05,21-25,108,0.0073,2024-06-05,0.87,2284.38,889.36
84140,Samuel Oliveira Albernaz,675.166.597-03,86,267531.0,2024-06-04,86-90,48,1.27,2024-06-04,0.87,8972.33,3247.17
150834,Igor Ferreira Silva,437.679.004-40,83,236825.0,2024-06-06,81-85,108,0.838,2024-06-06,0.87,4818.68,773.71
111082,Rosimeri Rodrigues Oliveira,621.342.234-05,75,103329.0,2024-06-05,71-75,120,0.33,2024-06-05,0.87,1629.3,389.35
147515,Daniel Rodrigues Costa,851.264.103-77,77,131847.0,2024-06-05,76-80,108,0.51,2024-06-05,0.87,2355.6,536.11
81684,Igor Albernaz Cunha,749.455.992-20,32,83987.0,2024-06-04,31-35,108,0.0095,2024-06-04,0.87,1207.77,469.1
72534,Daniel Matos Costa,630.554.107-85,54,41242.0,2024-06-04,51-55,120,0.05,2024-06-04,0.87,569.04,189.61
816,Samuel Silva Pereira,444.994.982-01,85,234792.0,2024-06-03,81-85,108,0.838,2024-06-03,0.87,4777.31,767.06
152133,José Oliveira Oliveira,120.062.324-01,84,105867.0,2024-06-06,81-85,96,0.838,2024-06-06,0.87,2251.11,442.9
187501,Fatima Souza Pereira,644.785.215-49,68,134692.0,2024-06-06,66-70,96,0.18,2024-06-06,0.87,2233.77,819.5
26084,Maria Prenda Souza,335.680.186-40,45,251124.0,2024-06-03,41-45,60,0.0195,2024-06-03,0.87,5419.31,3185.56
164457,Ana Costa Pereira,822.597.911-74,23,195760.0,2024-06-06,21-25,84,0.0073,2024-06-06,0.87,3303.46,1586.06
172076,Daniel Souza Prenda,463.927.712-12,53,91762.0,2024-06-06,51-55,60,0.05,2024-06-06,0.87,1996.96,1152.75
185332,Priscila Ferreira Maia,252.042.560-16,86,86643.0,2024-06-06,86-90,84,1.27,2024-06-06,0.87,2230.89,376.73
