NOME,CPF,IDADE,VALOR_EMPRESTIMO,DATA_EMPRESTIMO,FAIXA_ETARIA,PRAZO_MESES,TAXAS_IDADE,DATA,TAXA_MENSAL_CDI,PRIMEIRA_PARCELA_EMPRESTIMO,AMORTIZACAO,PRIMEIRA_PARCELA_EMPRESTIMO_AUD_CONT,DIFERENÇA_PRIM_PARC
Igor Sant' Anna Oliveira,585.793.772-85,82,121679.0,2024-06-03,81-85,120,0.838,2024-06-03,0.87,2391.3089594255066,313.39,2391.67,-0.3610405744934724
Noemi Pereira Maia,860.391.889-95,82,259693.0,2024-06-03,81-85,60,0.838,2024-06-03,0.87,6952.8163659399415,2516.58,6952.14,0.6763659399412063
Carlos Costa Maia,762.952.195-27,81,163936.0,2024-06-03,81-85,96,0.838,2024-06-03,0.87,3485.7263556675466,685.83,3485.86,-0.13364433245351393
Gabriel Cristina Souza,946.424.158-66,83,165531.0,2024-06-03,81-85,84,0.838,2024-06-03,0.87,3725.428335350696,898.14,3725.41,0.018335350696361274
Samuel Souza Maia,369.135.222-74,82,68153.0,2024-06-03,81-85,108,0.838,2024-06-03,0.87,1385.629783458231,222.66,1386.71,-1.0802165417690048
Priscila Silva Ferreira,565.110.809-27,84,41029.0,2024-06-03,81-85,96,0.838,2024-06-03,0.87,871.18644067585,171.64,872.42,-1.233559324149951
Telma Sant' Anna Prenda,315.429.789-80,83,137040.0,2024-06-03,81-85,60,0.838,2024-06-03,0.87,3669.9269438534616,1328.01,3668.65,1.2769438534614892
João Sande Costa,310.077.391-85,82,188167.0,2024-06-03,81-85,96,0.838,2024-06-03,0.87,4000.203877390055,787.21,4001.1,-0.8961226099449959
Telma Rodrigues Ferreira,496.442.482-01,83,56766.0,2024-06-03,81-85,120,0.838,2024-06-03,0.87,1115.1416273491748,146.21,1115.77,-0.628372650825213
Igor Cunha Costa,846.076.760-47,82,293812.0,2024-06-03,81-85,120,0.838,2024-06-03,0.87,5773.812537533392,756.73,5775.04,-1.2274624666079035
Leticia Albernaz Cunha,407.292.680-98,82,154171.0,2024-06-03,81-85,36,0.838,2024-06-03,0.87,5769.385893115326,3135.34,5768.58,0.8058931153263984
Ana Rodrigues Costa,950.545.940-86,85,293384.0,2024-06-03,81-85,120,0.838,2024-06-03,0.87,5765.876073679765,755.63,5766.63,-0.7539263202352231
Marcelo Albernaz Cristina,585.760.437-00,82,187200.0,2024-06-03,81-85,96,0.838,2024-06-03,0.87,3981.2303199833455,783.16,3980.54,0.6903199833454892
Rosimeri Sande Sant' Anna,377.861.713-39,85,205934.0,2024-06-03,81-85,36,0.838,2024-06-03,0.87,7706.721198680553,4188.04,7705.39,1.331198680552916
Gabriel Souza Albernaz,861.737.286-99,99,186162.0,2024-06-03,91+,96,2.79,2024-06-03,0.87,7036.920778019565,223.2,7036.73,0.1907780195651867
Leticia Souza Silva,335.993.783-04,94,87798.0,2024-06-03,91+,120,2.79,2024-06-03,0.87,3256.2416075455926,43.6,3257.01,-0.7683924544076035
Telma Cristina Matos,153.457.605-35,99,105933.0,2024-06-03,91+,60,2.79,2024-06-03,0.87,4384.991191329929,507.27,4384.42,0.5711913299292064
Rosimeri Souza Rodrigues,567.066.017-05,99,118006.0,2024-06-03,91+,72,2.79,2024-06-03,0.87,4670.901730535671,351.0,4670.02,0.8817305356706129
Alexandre Cunha Albernaz,752.292.034-55,97,97565.0,2024-06-03,91+,96,2.79,2024-06-03,0.87,3686.763908905377,116.98,3687.86,-1.0960910946232616
Samuel Ferreira Silva,321.551.273-40,97,213980.0,2024-06-03,91+,36,2.79,2024-06-03,0.87,10790.894196115443,2958.06,10789.73,1.1641961154437013
Leticia Oliveira Maia,574.363.838-17,98,193745.0,2024-06-03,91+,48,2.79,2024-06-03,0.87,8627.57918047155,1536.57,8627.64,-0.06081952844942862
Maria Silva Rodrigues,584.996.928-42,96,34797.0,2024-06-03,91+,96,2.79,2024-06-03,0.87,1316.779061217204,41.72,1315.29,1.4890612172039255
Ana Sande Sant' Anna,848.472.384-43,93,289719.0,2024-06-03,91+,120,2.79,2024-06-03,0.87,10747.287205835451,143.86,10747.58,-0.29279416454846796
João Ferreira Cristina,300.282.196-94,92,150947.0,2024-06-03,91+,72,2.79,2024-06-03,0.87,5974.554592248276,448.99,5973.65,0.9045922482764581
Fatima Matos Rodrigues,268.139.997-10,96,155345.0,2024-06-03,91+,96,2.79,2024-06-03,0.87,5873.122149649736,186.25,5871.88,1.2421496497354383
Fatima Silva Pereira,306.567.079-84,97,286114.0,2024-06-03,91+,84,2.79,2024-06-03,0.87,11008.769210340946,537.55,11009.32,-0.5507896590534074
